'TrafficShaping.perfectSchedule_feasible' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.perfect_privacy_mechanism_budget_lower' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.corollary5_eq25_unconditional' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.corollary3_perfect_privacy_budgets' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.perfect_privacy_both_attainable' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.table2_H16_half_privacy_accuracy' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.small_threshold_budgets_of_six_tests' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.article_table2_row_of_values' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleCausalPolicyItems_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleCausalDualItems_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleCausalPolicy_all_inputs' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleCausalDual_cols' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleCausalValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleNoncausalValue' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleCausalOptimum' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleNoncausalOptimum' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articlePerfectPrivacyB6' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articlePerfectScheduleB6' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleExecute_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleExecute_switch' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleExecute_base_servicePairs' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleExecute_switch_servicePairs' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleExecute_switch_first_activation' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleExecute_base_transmission_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleExecute_switch_transmission_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.articleStrictThresholdEndpoint' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.terminal_actual_fifo_eq12' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.fifoServices_get_eq_max' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.fifoSuffix_service_events_of_base' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.switch_actual_fifo_eq13' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.fifoSuffix_service_events_of_switch' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.executeState_switch_workConservingSuffix' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.canonicalRemainingArrivals_eq_cons_of_head' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificateScanFeasible_true_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.row_ineq_of_finset_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.col_ineq_of_finset_checked' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.ArticleTable2Row' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.causalBudget_eq_of_adjacent_certificates' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.causal_subreserve_loss_isLeast' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H10_m3_B7_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H10_m4_B7_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H10_m4_B7_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B2_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B2_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B2_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B3_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B3_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B3_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B4_D1' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B4_D2' depends on axioms: [propext, Classical.choice, Quot.sound]
'TrafficShaping.certificate_value_off_H12_m2_B4_D3' depends on axioms: [propext, Classical.choice, Quot.sound]
